FID,OBJECTID,River_Stat,Node_Descr,X,Y,Z
105,106,11827.81,XS170,6544606.863570000000000,1861927.341740000100000,191.9499969
106,107,11568.50,XS160,6544342.257140000400000,1861925.604540000000000,191.6419983
107,108,10945.80,XS150,6543748.386280000200000,1861697.776260000000000,190.1170044
108,0,11314.55, ,6544095.129209999900000,1861857.235589999900000,190.8540039
109,0,9164.27, ,6542424.515130000200000,1861381.653020000100000,184.5160065
110,109,10494.17,XS140,6543544.129800000200000,1861304.267530000100000,190.0540009
111,112,8769.12,"XS120, ineffective beyond right limit of section",6542080.678000000300000,1861149.527350000100000,184.5030060
112,0,9567.87, ,6542784.407460000400000,1861143.939990000100000,186.8379974
113,110,10061.29,XS135,6543245.098899999600000,1860978.539510000000000,187.6040039
114,111,9896.99,XS130,6543031.555689999800000,1860914.934320000000000,187.6790009
115,113,8060.40,"XS110, ineffective beyond right limit of section",6541464.756330000200000,1860738.287689999900000,181.1190033
116,114,7142.01,XS100,6541550.385750000400000,1859747.194530000000000,179.4060059
117,115,6682.79,XS90,6541306.460060000400000,1859360.599830000000000,177.4440002
118,116,6313.16,XS80,6541030.893360000100000,1859107.278810000000000,177.2969971
119,117,6005.99,"XS70, ineffective beyond left limit of section",6540768.330230000400000,1858948.932670000000000,177.1510010
120,118,5157.79,XS60,6539955.947340000400000,1858866.095900000100000,175.9239960
121,119,4223.57,"XS50, ineffective beyond x-section limits",6539420.934630000000000,1858233.910480000100000,174.4550018
122,120,2984.47,"XS40, ineffective beyond x-section limits",6538360.763199999900000,1857529.211100000000000,171.6300049
123,121,2081.42,"XS30, ineffective beyond x-section limits",6538985.043770000300000,1856727.931210000100000,170.7109985
124,122,1572.11,"XS20, ineffective beyond x-section limits",6538696.569280000400000,1856376.397790000100000,170.6809998
125,123,797.46,"XS10, ineffective beyond x-section limits",6538578.327390000200000,1855663.987140000100000,170.3780060
